Date,Open,High,Low,Close,Adj Close,Volume
2011-06-24,3.670000,3.717500,3.605000,3.650000,3.650000,3043200
2011-06-27,3.635000,3.717500,3.587500,3.697500,3.697500,3414000
2011-06-28,3.705000,3.707500,3.655000,3.685000,3.685000,2098800
2011-06-29,3.700000,3.700000,3.612500,3.622500,3.622500,1332800
2011-06-30,3.625000,3.657500,3.610000,3.622500,3.622500,1938400
2011-07-01,3.627500,3.737500,3.617500,3.652500,3.652500,2886400
2011-07-05,3.662500,3.742500,3.632500,3.732500,3.732500,1966800
2011-07-06,3.717500,3.775000,3.692500,3.742500,3.742500,1241600
2011-07-07,3.780000,3.897500,3.757500,3.882500,3.882500,2400400
2011-07-08,3.805000,3.875000,3.792500,3.867500,3.867500,920000
2011-07-11,3.817500,3.875000,3.772500,3.797500,3.797500,1400800
2011-07-12,3.777500,3.877500,3.775000,3.802500,3.802500,1967200
2011-07-13,3.822500,3.870000,3.817500,3.835000,3.835000,1033200
2011-07-14,3.842500,3.910000,3.807500,3.890000,3.890000,4180800
2011-07-15,3.907500,3.942500,3.870000,3.915000,3.915000,1662800
2011-07-18,3.905000,3.912500,3.870000,3.907500,3.907500,2104800
2011-07-19,3.850000,3.870000,3.772500,3.815000,3.815000,4606000
2011-07-20,3.827500,3.867500,3.780000,3.827500,3.827500,2771200
2011-07-21,3.850000,3.885000,3.802500,3.860000,3.860000,1301600
2011-07-22,3.867500,3.867500,3.827500,3.857500,3.857500,458400
2011-07-25,3.832500,3.860000,3.792500,3.797500,3.797500,1803200
2011-07-26,3.812500,3.880000,3.640000,3.655000,3.655000,2717600
2011-07-27,3.627500,3.627500,3.480000,3.522500,3.522500,2327200
2011-07-28,3.505000,3.580000,3.500000,3.542500,3.542500,1539200
2011-07-29,3.520000,3.575000,3.497500,3.545000,3.545000,1643200
2011-08-01,3.602500,3.635000,3.455000,3.532500,3.532500,2126400
2011-08-02,3.525000,3.582500,3.325000,3.325000,3.325000,2860800
2011-08-03,3.360000,3.405000,3.207500,3.347500,3.347500,3714000
2011-08-04,3.110000,3.190000,2.740000,2.740000,2.740000,9987600
2011-08-05,2.797500,2.870000,2.692500,2.810000,2.810000,4688400
2011-08-08,2.702500,2.802500,2.562500,2.575000,2.575000,4725600
2011-08-09,2.665000,2.795000,2.457500,2.790000,2.790000,4179600
2011-08-10,2.885000,2.885000,2.567500,2.577500,2.577500,3200000
2011-08-11,2.600000,2.782500,2.565000,2.737500,2.737500,2312400
2011-08-12,2.775000,2.812500,2.697500,2.785000,2.785000,1846000
2011-08-15,2.827500,2.897500,2.782500,2.885000,2.885000,1655200
2011-08-16,2.902500,2.922500,2.810000,2.837500,2.837500,1888400
2011-08-17,2.857500,2.922500,2.780000,2.827500,2.827500,1604000
2011-08-18,2.732500,2.750000,2.645000,2.685000,2.685000,3156000
2011-08-19,2.607500,2.765000,2.570000,2.710000,2.710000,2776000
2011-08-22,2.797500,2.807500,2.637500,2.727500,2.727500,2393200
2011-08-23,2.735000,2.840000,2.630000,2.837500,2.837500,2514800
2011-08-24,2.817500,2.937500,2.747500,2.930000,2.930000,1322000
2011-08-25,2.955000,2.955000,2.810000,2.827500,2.827500,1366000
2011-08-26,2.800000,2.920000,2.755000,2.917500,2.917500,792400
2011-08-29,2.962500,3.100000,2.927500,3.095000,3.095000,1360000
2011-08-30,3.077500,3.095000,2.990000,3.020000,3.020000,1326000
2011-08-31,3.047500,3.072500,2.935000,3.007500,3.007500,1505200
2011-09-01,2.992500,3.082500,2.895000,2.940000,2.940000,1598400
2011-09-02,2.852500,3.005000,2.852500,2.880000,2.880000,1554400
2011-09-06,2.765000,2.840000,2.747500,2.840000,2.840000,1133600
2011-09-07,2.902500,3.037500,2.852500,3.020000,3.020000,1342800
2011-09-08,2.990000,3.080000,2.980000,3.000000,3.000000,1670400
2011-09-09,2.955000,3.000000,2.882500,2.910000,2.910000,1862800
2011-09-12,2.852500,2.945000,2.827500,2.895000,2.895000,898800
2011-09-13,2.912500,3.022500,2.832500,3.012500,3.012500,1027200
2011-09-14,3.035000,3.150000,3.002500,3.090000,3.090000,1889200
2011-09-15,3.125000,3.200000,3.052500,3.177500,3.177500,2399200
2011-09-16,3.187500,3.197500,3.135000,3.197500,3.197500,1911200
2011-09-19,3.130000,3.237500,3.125000,3.192500,3.192500,1697200
2011-09-20,3.260000,3.422500,3.170000,3.272500,3.272500,3109200
2011-09-21,3.277500,3.337500,3.140000,3.150000,3.150000,2465200
2011-09-22,3.037500,3.162500,2.912500,2.972500,2.972500,3543600
2011-09-23,2.972500,3.075000,2.902500,2.972500,2.972500,2714400
2011-09-26,3.000000,3.105000,2.887500,3.000000,3.000000,2306800
2011-09-27,3.087500,3.260000,3.012500,3.212500,3.212500,2761600
2011-09-28,3.202500,3.257500,3.052500,3.055000,3.055000,1395600
2011-09-29,3.152500,3.185000,3.045000,3.137500,3.137500,1200000
2011-09-30,3.075000,3.130000,2.995000,3.000000,3.000000,2040400
2011-10-03,2.955000,3.030000,2.802500,2.840000,2.840000,2537600
2011-10-04,2.822500,3.060000,2.805000,3.050000,3.050000,2581600
2011-10-05,3.065000,3.107500,3.012500,3.055000,3.055000,1202000
2011-10-06,3.055000,3.072500,2.982500,3.022500,3.022500,1793600
2011-10-07,3.027500,3.072500,2.767500,2.775000,2.775000,3094400
2011-10-10,2.845000,2.885000,2.797500,2.872500,2.872500,1918800
2011-10-11,2.845000,2.920000,2.835000,2.867500,2.867500,1064000
2011-10-12,2.895000,2.947500,2.805000,2.822500,2.822500,1997200
2011-10-13,2.797500,2.827500,2.775000,2.812500,2.812500,1555600
2011-10-14,2.862500,2.872500,2.757500,2.807500,2.807500,1343200
2011-10-17,2.762500,2.897500,2.642500,2.655000,2.655000,1315600
2011-10-18,2.662500,2.712500,2.612500,2.685000,2.685000,1940800
2011-10-19,2.687500,2.727500,2.565000,2.580000,2.580000,2266000
2011-10-20,2.595000,2.670000,2.475000,2.565000,2.565000,2076800
2011-10-21,2.630000,2.660000,2.530000,2.565000,2.565000,3402000
2011-10-24,2.582500,2.762500,2.580000,2.757500,2.757500,3291200
2011-10-25,2.737500,2.755000,2.610000,2.620000,2.620000,1355600
2011-10-26,2.670000,2.670000,2.532500,2.545000,2.545000,4762000
2011-10-27,2.652500,2.652500,2.282500,2.350000,2.350000,7643200
2011-10-28,2.282500,2.530000,2.282500,2.510000,2.510000,4322800
2011-10-31,2.450000,2.495000,2.425000,2.447500,2.447500,3221600
2011-11-01,2.355000,2.402500,2.335000,2.350000,2.350000,4474800
2011-11-02,2.350000,2.525000,2.287500,2.450000,2.450000,4170800
2011-11-03,1.862500,2.142500,1.832500,1.967500,1.967500,15636400
2011-11-04,1.965000,2.000000,1.885000,1.907500,1.907500,8940400
2011-11-07,1.902500,1.930000,1.832500,1.852500,1.852500,4841200
2011-11-08,1.860000,1.862500,1.777500,1.845000,1.845000,3946800
2011-11-09,1.782500,1.830000,1.767500,1.777500,1.777500,2482400
2011-11-10,1.802500,1.837500,1.755000,1.770000,1.770000,1697200
2011-11-11,1.795000,1.840000,1.770000,1.835000,1.835000,3087200
2011-11-14,1.825000,1.825000,1.745000,1.750000,1.750000,3017200
2011-11-15,1.747500,1.810000,1.725000,1.802500,1.802500,2899200
2011-11-16,1.780000,1.802500,1.757500,1.760000,1.760000,1713200
2011-11-17,1.755000,1.775000,1.737500,1.750000,1.750000,1367600
2011-11-18,1.812500,1.837500,1.765000,1.775000,1.775000,5681600
2011-11-21,1.742500,1.750000,1.717500,1.735000,1.735000,2323600
2011-11-22,1.740000,1.757500,1.715000,1.727500,1.727500,1236400
2011-11-23,1.712500,1.752500,1.687500,1.737500,1.737500,3419600
2011-11-25,1.727500,1.750000,1.710000,1.732500,1.732500,1361600
2011-11-28,1.785000,1.852500,1.772500,1.852500,1.852500,2902800
2011-11-29,1.850000,1.892500,1.850000,1.877500,1.877500,2221600
2011-11-30,1.945000,2.007500,1.945000,2.005000,2.005000,4283200
2011-12-01,2.002500,2.020000,1.975000,2.000000,2.000000,2294000
2011-12-02,2.027500,2.085000,2.005000,2.060000,2.060000,3550000
2011-12-05,2.095000,2.120000,2.062500,2.090000,2.090000,1956400
2011-12-06,2.087500,2.140000,2.042500,2.107500,2.107500,2110800
2011-12-07,2.095000,2.140000,2.017500,2.042500,2.042500,1160000
2011-12-08,2.025000,2.035000,1.990000,2.000000,2.000000,2366400
2011-12-09,2.012500,2.097500,1.990000,2.077500,2.077500,1820800
2011-12-12,2.047500,2.162500,2.000000,2.020000,2.020000,2106000
2011-12-13,2.035000,2.087500,2.000000,2.010000,2.010000,1775200
2011-12-14,1.995000,2.025000,1.995000,2.010000,2.010000,2425200
2011-12-15,2.045000,2.082500,2.025000,2.052500,2.052500,1778400
2011-12-16,2.082500,2.132500,2.052500,2.070000,2.070000,3145200
2011-12-19,2.080000,2.112500,2.022500,2.027500,2.027500,2111600
2011-12-20,2.072500,2.157500,2.067500,2.152500,2.152500,3388400
2011-12-21,2.160000,2.187500,2.102500,2.177500,2.177500,1526800
2011-12-22,2.180000,2.225000,2.150000,2.182500,2.182500,1810800
2011-12-23,2.185000,2.190000,2.142500,2.145000,2.145000,1182800
2011-12-27,2.135000,2.175000,2.120000,2.162500,2.162500,1030800
2011-12-28,2.187500,2.187500,2.125000,2.135000,2.135000,1202400
2011-12-29,2.172500,2.372500,2.150000,2.350000,2.350000,2505200
2011-12-30,2.340000,2.392500,2.305000,2.327500,2.327500,1869600
2012-01-03,2.380000,2.405000,2.342500,2.360000,2.360000,1594000
2012-01-04,2.337500,2.357500,2.277500,2.300000,2.300000,1340400
2012-01-05,2.287500,2.292500,2.225000,2.230000,2.230000,4016400
2012-01-06,2.227500,2.260000,2.190000,2.207500,2.207500,2395200
2012-01-09,2.212500,2.247500,2.160000,2.210000,2.210000,1332400
2012-01-10,2.245000,2.257500,2.205000,2.215000,2.215000,1317200
2012-01-11,2.212500,2.542500,2.160000,2.532500,2.532500,6370800
2012-01-12,2.530000,2.577500,2.470000,2.567500,2.567500,2719600
2012-01-13,2.532500,2.557500,2.475000,2.502500,2.502500,1623200
2012-01-17,2.452500,2.560000,2.442500,2.540000,2.540000,3452400
2012-01-18,2.542500,2.672500,2.535000,2.667500,2.667500,1943200
2012-01-19,2.667500,2.730000,2.660000,2.705000,2.705000,2190400
2012-01-20,2.697500,2.717500,2.660000,2.680000,2.680000,2460800
2012-01-23,2.687500,2.725000,2.622500,2.642500,2.642500,2266800
2012-01-24,2.627500,2.705000,2.612500,2.685000,2.685000,1495200
2012-01-25,2.687500,2.757500,2.615000,2.732500,2.732500,2793200
2012-01-26,2.745000,2.765000,2.657500,2.747500,2.747500,1736000
2012-01-27,2.747500,2.807500,2.700000,2.762500,2.762500,3485200
2012-01-30,2.745000,2.762500,2.677500,2.750000,2.750000,1471600
2012-01-31,2.775000,2.782500,2.720000,2.742500,2.742500,1287200
2012-02-01,2.765000,2.852500,2.760000,2.822500,2.822500,2224000
2012-02-02,2.840000,2.912500,2.812500,2.882500,2.882500,2182800
2012-02-03,2.937500,2.970000,2.902500,2.925000,2.925000,1996800
2012-02-06,2.895000,2.955000,2.850000,2.940000,2.940000,1955600
2012-02-07,2.922500,2.952500,2.870000,2.927500,2.927500,1090000
2012-02-08,2.930000,2.955000,2.827500,2.842500,2.842500,1454000
2012-02-09,2.852500,2.895000,2.765000,2.842500,2.842500,1005200
2012-02-10,2.810000,2.837500,2.755000,2.780000,2.780000,979200
2012-02-13,2.807500,2.817500,2.782500,2.800000,2.800000,1387600
2012-02-14,2.777500,2.872500,2.750000,2.795000,2.795000,787200
2012-02-15,2.800000,2.800000,2.725000,2.735000,2.735000,1342400
2012-02-16,2.740000,2.962500,2.740000,2.950000,2.950000,1943600
2012-02-17,2.972500,2.975000,2.887500,2.900000,2.900000,1331200
2012-02-21,2.897500,2.937500,2.835000,2.862500,2.862500,1502800
2012-02-22,2.865000,2.877500,2.770000,2.797500,2.797500,975200
2012-02-23,2.812500,2.907500,2.755000,2.797500,2.797500,2611600
2012-02-24,2.805000,2.837500,2.662500,2.700000,2.700000,3582400
2012-02-27,2.685000,2.692500,2.565000,2.677500,2.677500,2340000
2012-02-28,2.680000,2.777500,2.670000,2.772500,2.772500,1881600
2012-02-29,2.782500,2.800000,2.692500,2.697500,2.697500,1655600
2012-03-01,2.710000,2.800000,2.677500,2.682500,2.682500,1539600
2012-03-02,2.677500,2.700000,2.555000,2.592500,2.592500,1392400
2012-03-05,2.577500,2.630000,2.562500,2.587500,2.587500,807600
2012-03-06,2.552500,2.590000,2.520000,2.525000,2.525000,2125600
2012-03-07,2.537500,2.587500,2.535000,2.560000,2.560000,1476000
2012-03-08,2.577500,2.595000,2.537500,2.587500,2.587500,1185200
2012-03-09,2.592500,2.607500,2.530000,2.555000,2.555000,1568400
2012-03-12,2.562500,2.590000,2.527500,2.545000,2.545000,773200
2012-03-13,2.575000,2.580000,2.517500,2.562500,2.562500,1999600
2012-03-14,2.555000,2.612500,2.552500,2.597500,2.597500,1480400
2012-03-15,2.587500,2.745000,2.587500,2.725000,2.725000,2222400
2012-03-16,2.730000,2.742500,2.677500,2.707500,2.707500,1444000
2012-03-19,2.705000,2.750000,2.672500,2.707500,2.707500,862000
2012-03-20,2.690000,2.707500,2.627500,2.630000,2.630000,770800
2012-03-21,2.637500,2.672500,2.597500,2.625000,2.625000,608800
2012-03-22,2.602500,2.602500,2.547500,2.567500,2.567500,1038000
2012-03-23,2.565000,2.602500,2.552500,2.587500,2.587500,969200
2012-03-26,2.615000,2.705000,2.587500,2.687500,2.687500,1647600
2012-03-27,2.705000,2.747500,2.677500,2.680000,2.680000,1499600
2012-03-28,2.687500,2.687500,2.575000,2.630000,2.630000,1408400
2012-03-29,2.600000,2.632500,2.585000,2.625000,2.625000,736400
2012-03-30,2.652500,2.652500,2.580000,2.607500,2.607500,1653600
2012-04-02,2.587500,2.677500,2.570000,2.657500,2.657500,2167600
2012-04-03,2.660000,2.710000,2.647500,2.687500,2.687500,1528800
2012-04-04,2.667500,2.690000,2.650000,2.677500,2.677500,2402000
2012-04-05,2.655000,2.665000,2.610000,2.612500,2.612500,3508000
2012-04-09,2.557500,2.585000,2.505000,2.505000,2.505000,2050000
2012-04-10,2.507500,2.527500,2.350000,2.372500,2.372500,2072000
2012-04-11,2.405000,2.437500,2.372500,2.412500,2.412500,1534800
2012-04-12,2.422500,2.482500,2.422500,2.445000,2.445000,1046400
2012-04-13,2.427500,2.447500,2.340000,2.377500,2.377500,2189200
2012-04-16,2.390000,2.412500,2.362500,2.380000,2.380000,1216400
2012-04-17,2.405000,2.450000,2.390000,2.410000,2.410000,1028000
2012-04-18,2.390000,2.417500,2.370000,2.395000,2.395000,2796000
2012-04-19,2.392500,2.455000,2.380000,2.400000,2.400000,1824000
2012-04-20,2.452500,2.452500,2.395000,2.400000,2.400000,2110000
2012-04-23,2.370000,2.427500,2.357500,2.420000,2.420000,3665200
2012-04-24,2.417500,2.457500,2.405000,2.425000,2.425000,1682000
2012-04-25,2.467500,2.482500,2.437500,2.462500,2.462500,1450800
2012-04-26,2.462500,2.477500,2.445000,2.462500,2.462500,1419200
2012-04-27,2.480000,2.510000,2.450000,2.492500,2.492500,1044000
2012-04-30,2.497500,2.497500,2.442500,2.445000,2.445000,1350000
2012-05-01,2.445000,2.502500,2.445000,2.450000,2.450000,1927600
2012-05-02,2.422500,2.527500,2.407500,2.527500,2.527500,2560400
2012-05-03,2.500000,2.525000,2.437500,2.502500,2.502500,4660400
2012-05-04,2.497500,2.550000,2.452500,2.505000,2.505000,1858400
2012-05-07,2.500000,2.547500,2.480000,2.525000,2.525000,1284800
2012-05-08,2.500000,2.587500,2.487500,2.582500,2.582500,1196400
2012-05-09,2.542500,2.615000,2.537500,2.605000,2.605000,1111600
2012-05-10,2.622500,2.637500,2.585000,2.625000,2.625000,1512000
2012-05-11,2.597500,2.642500,2.562500,2.590000,2.590000,1211600
2012-05-14,2.560000,2.597500,2.545000,2.562500,2.562500,984000
2012-05-15,2.557500,2.622500,2.557500,2.610000,2.610000,1000800
2012-05-16,2.617500,2.707500,2.617500,2.625000,2.625000,3050800
2012-05-17,2.637500,2.637500,2.595000,2.605000,2.605000,1865600
2012-05-18,2.600000,2.640000,2.582500,2.602500,2.602500,3148000
2012-05-21,2.605000,2.685000,2.597500,2.672500,2.672500,1988800
2012-05-22,2.672500,2.705000,2.607500,2.642500,2.642500,1570800
2012-05-23,2.605000,2.662500,2.565000,2.660000,2.660000,1704000
2012-05-24,2.657500,2.672500,2.595000,2.622500,2.622500,1804400
2012-05-25,2.622500,2.700000,2.622500,2.697500,2.697500,1206400
2012-05-29,2.710000,2.840000,2.700000,2.772500,2.772500,2048800
2012-05-30,2.747500,2.767500,2.637500,2.657500,2.657500,1799200
2012-05-31,2.652500,2.697500,2.595000,2.690000,2.690000,3354400
2012-06-01,2.612500,2.742500,2.575000,2.692500,2.692500,3458000
2012-06-04,2.700000,2.710000,2.650000,2.675000,2.675000,1607600
2012-06-05,2.652500,2.717500,2.652500,2.675000,2.675000,1259600
2012-06-06,2.700000,2.762500,2.665000,2.702500,2.702500,2487200
2012-06-07,2.742500,2.750000,2.672500,2.702500,2.702500,1464000
2012-06-08,2.690000,2.912500,2.690000,2.905000,2.905000,2239200
2012-06-11,2.927500,2.985000,2.887500,2.890000,2.890000,2576000
2012-06-12,2.897500,2.950000,2.880000,2.950000,2.950000,1839200
2012-06-13,2.930000,3.067500,2.930000,3.025000,3.025000,2992000
2012-06-14,3.022500,3.115000,2.990000,3.102500,3.102500,2001200
2012-06-15,3.100000,3.195000,3.072500,3.172500,3.172500,1815600
2012-06-18,3.162500,3.285000,3.150000,3.210000,3.210000,3334000
2012-06-19,3.235000,3.277500,3.212500,3.267500,3.267500,2190400
2012-06-20,3.275000,3.300000,3.240000,3.257500,3.257500,2298400
2012-06-21,3.257500,3.290000,3.130000,3.157500,3.157500,2272800
2012-06-22,3.182500,3.287500,3.160000,3.257500,3.257500,4250400
2012-06-25,3.212500,3.230000,3.142500,3.157500,3.157500,1540000
2012-06-26,3.162500,3.180000,3.065000,3.117500,3.117500,2149200
2012-06-27,3.132500,3.252500,3.132500,3.215000,3.215000,1791600
2012-06-28,3.197500,3.255000,3.097500,3.167500,3.167500,1820000
2012-06-29,3.232500,3.250000,3.215000,3.240000,3.240000,1510800
2012-07-02,3.240000,3.270000,3.225000,3.245000,3.245000,2857200
2012-07-03,3.267500,3.280000,3.235000,3.265000,3.265000,932800
2012-07-05,3.262500,3.272500,3.237500,3.245000,3.245000,1251200
2012-07-06,3.212500,3.242500,3.180000,3.197500,3.197500,754400
2012-07-09,3.197500,3.225000,3.135000,3.222500,3.222500,1078000
2012-07-10,3.252500,3.265000,3.225000,3.255000,3.255000,2564800
2012-07-11,3.252500,3.302500,3.240000,3.277500,3.277500,2358800
2012-07-12,3.245000,3.250000,3.150000,3.180000,3.180000,2953200
2012-07-13,3.200000,3.252500,3.190000,3.242500,3.242500,5341600
2012-07-16,3.225000,3.250000,3.182500,3.235000,3.235000,1563200
2012-07-17,3.280000,3.280000,3.207500,3.225000,3.225000,1315200
2012-07-18,3.210000,3.242500,3.182500,3.195000,3.195000,2506400
2012-07-19,3.220000,3.225000,3.175000,3.192500,3.192500,1555600
2012-07-20,3.160000,3.175000,2.997500,3.002500,3.002500,3075200
2012-07-23,2.940000,2.977500,2.902500,2.940000,2.940000,1687200
2012-07-24,2.945000,3.005000,2.862500,2.875000,2.875000,1264400
2012-07-25,2.887500,2.887500,2.815000,2.820000,2.820000,2520000
2012-07-26,2.875000,2.900000,2.822500,2.850000,2.850000,1740800
2012-07-27,2.862500,2.930000,2.830000,2.917500,2.917500,1599600
2012-07-30,2.912500,2.945000,2.805000,2.835000,2.835000,1531600
2012-07-31,2.822500,2.865000,2.747500,2.752500,2.752500,1598800
2012-08-01,2.767500,2.812500,2.662500,2.775000,2.775000,2935200
2012-08-02,2.740000,2.870000,2.740000,2.835000,2.835000,1749600
2012-08-03,2.862500,2.935000,2.840000,2.925000,2.925000,1560000
2012-08-06,2.920000,3.005000,2.920000,2.967500,2.967500,1580400
2012-08-07,2.982500,3.035000,2.917500,2.997500,2.997500,3117600
2012-08-08,2.977500,3.010000,2.935000,3.000000,3.000000,2822800
2012-08-09,3.000000,3.095000,2.970000,3.087500,3.087500,1776800
2012-08-10,3.095000,3.137500,3.065000,3.125000,3.125000,1086000
2012-08-13,3.110000,3.135000,3.082500,3.135000,3.135000,945600
2012-08-14,3.145000,3.195000,3.132500,3.167500,3.167500,1210000
2012-08-15,3.167500,3.212500,3.165000,3.207500,3.207500,1265600
2012-08-16,3.195000,3.247500,3.160000,3.210000,3.210000,932400
2012-08-17,3.197500,3.245000,3.192500,3.245000,3.245000,800000
2012-08-20,3.227500,3.245000,3.180000,3.225000,3.225000,1303600
2012-08-21,3.235000,3.262500,3.130000,3.160000,3.160000,1526800
2012-08-22,3.145000,3.202500,3.040000,3.102500,3.102500,2253200
2012-08-23,3.110000,3.112500,3.055000,3.092500,3.092500,840400
2012-08-24,3.077500,3.152500,3.050000,3.130000,3.130000,1260400
2012-08-27,3.142500,3.145000,3.110000,3.142500,3.142500,903200
2012-08-28,3.132500,3.150000,3.090000,3.140000,3.140000,1183200
2012-08-29,3.140000,3.217500,3.132500,3.197500,3.197500,1131200
2012-08-30,3.185000,3.195000,3.152500,3.165000,3.165000,899200
2012-08-31,3.200000,3.325000,3.187500,3.325000,3.325000,1994800
2012-09-04,3.337500,3.462500,3.265000,3.442500,3.442500,2451200
2012-09-05,3.427500,3.505000,3.400000,3.475000,3.475000,3085200
2012-09-06,3.487500,3.615000,3.477500,3.540000,3.540000,2004800
2012-09-07,3.565000,3.565000,3.460000,3.475000,3.475000,1053600
2012-09-10,3.460000,3.492500,3.362500,3.370000,3.370000,1766800
2012-09-11,3.382500,3.455000,3.375000,3.420000,3.420000,1164400
2012-09-12,3.420000,3.470000,3.387500,3.432500,3.432500,1140400
2012-09-13,3.430000,3.582500,3.422500,3.502500,3.502500,2544400
2012-09-14,3.480000,3.480000,3.315000,3.375000,3.375000,3777200
2012-09-17,3.355000,3.392500,3.257500,3.380000,3.380000,857600
2012-09-18,3.380000,3.530000,3.370000,3.510000,3.510000,2084400
2012-09-19,3.510000,3.600000,3.500000,3.570000,3.570000,1334000
2012-09-20,3.580000,3.705000,3.565000,3.682500,3.682500,2495600
2012-09-21,3.735000,3.735000,3.642500,3.725000,3.725000,2504400
